Magnitude of(1.31934, 4.10954) = 4.31613
Magnitude of(4.05242, 4.08629) = 5.75499
Magnitude of(3.24894, 4.86559) = 5.8506
Magnitude of(0.969385, 2.4481) = 2.63304
Magnitude of(0.182998, 0.646154) = 0.671568
Magnitude of(4.90802, 4.10111) = 6.39592
Magnitude of(2.31969, 2.09662) = 3.12678
Magnitude of(2.8819, 1.0905) = 3.08132
Magnitude of(3.09606, 0.409003) = 3.12296
Magnitude of(4.11942, 0.0149667) = 4.11945
Magnitude of(1.54503, 2.24506) = 2.72533
Magnitude of(2.7571, 3.58836) = 4.52525
Magnitude of(4.61133, 2.61481) = 5.30109
Magnitude of(2.13159, 0.599773) = 2.21436
Magnitude of(0.387555, 3.63403) = 3.65464
Magnitude of(2.13949, 3.38681) = 4.00598
Magnitude of(2.05462, 2.00569) = 2.87128
Magnitude of(4.64078, 2.65243) = 5.3453
Magnitude of(4.36456, 0.132048) = 4.36656
Magnitude of(4.3233, 1.63762) = 4.62306
Magnitude of(3.54669, 4.15003) = 5.4591
Magnitude of(4.52995, 4.89828) = 6.67185
Magnitude of(0.408603, 2.39641) = 2.43099
Magnitude of(1.4242, 1.46115) = 2.04042
Magnitude of(2.60874, 0.0448187) = 2.60913
